"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28","max.daily.ph.gt8"
"1",2018-06-15,34.3,29.8,NA,NA,2,2.2964,0.6285,24.125,53,21.1995074852218,12.1111111111111,12.782955507118,193.666666666667,62798.7777777777,10240.6666666667,28.4,27.65,29.6,1.3,28,8,7.8,8.2,0.35,8,15.8,13.975,17.8,3.6,16,7,30,45
"2",2018-07-16,128.2,52.7,10.9,117.3,2,2.5721,0.4581,14.9,64.3,12.955427339889,4.66666666666668,8.97562110625184,200,13815.1111111111,6976,30.325,29.6,30.5,1,29.7,7.9,7.85,8.1,0.2,7.95,17.225,15.125,19.15,3.8,17.275,17,57,34
"3",2018-08-06,119.9,38.4,12.9,107,4,3.4752,1.0841,18.3,74.4,17.5410929133971,8.44444444444442,17.1001838856863,282,26579.111111111,5470.66666666667,31,30.7,31.4,0.599999999999998,30.975,7.9,7.9,8,0.15,7.9,18.35,16.6,19.85,3.025,18.4,17,59,16
"4",2018-09-10,102.4,52.4,4.8,97.6,1,4.2065,0.356333333333333,6.6,63.9,7.52654480595657,11.2222222222222,5.25886682579841,179.333333333333,23930.2222222222,3139.33333333333,31.2,30.95,31.425,0.399999999999999,31.2,7.9,7.8,8,0.15,7.9,18.7,17.5,19.8,2,18.65,7,57,9
"5",2018-10-09,49.9,47.5,8.9,41,1,9.2224,2.9664,73.9,152.2,29.5443404818578,23.2222222222222,23.5044667643068,291.333333333333,386300.888888889,24840,31.7,31.6,31.9,0.300000000000001,31.7125,7.9,7.8,8,0.199999999999999,7.9,18.2,17.35,19.3,1.8,18.3,7,57,13
"6",2018-11-06,33.2,61.5,10.2,23,2,7.337,3.521,78.8,91.4,43.8850524515228,25.7777777777778,29.0074512390104,367.333333333333,382297.777777778,28466.6666666667,31.6,31.475,31.8,0.274999999999999,31.65,7.9,7.8,8,0.100000000000001,7.9,17.4,16.75,18.1,1.6,17.4875,0,60,11
"7",2018-12-04,26.4,53.5,8.1,18.3,2,3.684,0.8919,33,55.5,29.5146615752001,47,14.6673269941759,345.333333333333,311427.777777778,13362.6666666667,31.5,31.375,31.6,0.225000000000001,31.5,7.9,7.8,8,0.100000000000001,7.9,16.1,15.7,17,0.925000000000001,16.275,0,60,15
"8",2019-01-31,19.6,42.3,4,15.6,2,2.893,0.1291,3.9,58.3,4.48466632298315,55.111111111111,2.56926152815183,167.333333333333,60958.4444444443,1490.66666666667,29.7,29.5,30.1,0.899999999999999,29.75,7.9,7.85,7.9,0.0999999999999996,7.9,12.2,11.875,12.475,0.55,12.2,0,43,6
"9",2019-02-21,17.4,39.1,7.2,10.2,2,3.3092,0.1633,6.3,68,5.25358671029449,28.1111111111111,2.45863693431041,244.666666666667,82913.3333333333,5530,26.8,25.4,28,1.225,26.7125,7.9,7.9,7.9,0.0749999999999997,7.9,11.9,11.675,12.1,0.5,11.9,0,22,9
"10",2019-03-14,18.1,44.1,10.3,7.8,2,4.0094,0.2845,9.3,69.6,9.73509542447726,29.2222222222222,5.07044378040752,340,100561.888888889,8235.33333333333,22.475,21.6,23.125,1.55,22.45,7.9,7.9,8,0.0499999999999998,7.9,11.975,11.7,12.15,0.4,11.925,0,1,10
"11",2019-04-09,17,49.1,7.9,9.1,2,5.9182,0.3883,11.6,88.2,9.76056495418357,23.3333333333333,5.50368015624486,302.333333333333,48415,6584.33333333333,19.1,18.3,19.85,1.55,19.1,8,8,8,0.0999999999999996,8,12.3,12,12.6,0.600000000000001,12.3,0,0,29
"12",2019-05-08,44.2,43.2,6.2,38,2.5,5.2387,0.9579,37.3,102.5,17.9204023733361,1.77777777777778,10.3509385347999,357.333333333333,8695.33333333333,9808,19.8,19.15,20.825,1.575,19.7,8.1,8,8.35,0.300000000000001,8.1,14.6,14.225,15.35,1.175,14.625,0,0,56
"13",2019-06-08,10.5,23.9,3.4,7.1,2.5,7.6804,2.0539,64.2,139.5,19.7225076969206,9.11111111111112,12.4524501527057,343,219347.333333334,42421.6666666667,23,22.25,24.1,1.95,23.05,8,7.85,8.275,0.35,8.1,15.9,14.9,17.125,2.275,15.9,0,0,45
"14",2019-07-20,45.2,6.8,0.7,44.5,1,1.9294,0.088,3,32.1,5.0243915600885,3.33333333333333,2.08794748650706,188,1346.66666666667,1892.66666666667,26.25,25.65,27.8,1.725,25.975,7.9,7.8,8,0.2,7.9,17.6,15.95,19.2,2.9,17.8,0,5,28
"15",2019-08-04,60,8.1,0.6,59.4,1,1.2789,0.2807,9.2,26.4,6.95835884874464,12.8333333333333,4.35552378574523,157,36433.9999999999,6627,27.7,27.3,28.775,1.575,27.55,7.95,7.8,8.1,0.2,7.95,18.1,16.5,19.425,2.9,18.15,2,19,32
"16",2019-09-12,50.4,14.1,1.2,49.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,29.5,30.2,0.875,29.7625,8,7.9,8.1,0.199999999999999,8,19.15,17.825,20.6,2.875,19.2,2,53,35
