"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28","max.daily.ph.gt8"
"1",2018-06-14,30,35.6,NA,NA,3,6.601,3.9375,82,77.6666666666667,49.2477866886313,49.7777777777778,24.8882440829904,250,557075.888888889,21802,20.75,18.925,24.925,6.05,20.25,20.25,7.7,7.9,0.2,7.8,16.65,15.6,18.05,2.35,16.475,0,0,12
"2",2018-07-17,90.2,29.9,3.2,87,1,1.4398,0.487,8.4,24.9,9.67748917748917,13.8888888888889,8.0279341369392,226.666666666667,67533.2222222221,6641.33333333333,24.35,22.2,27.4,4.95,24.0625,7.8,7.8,7.9,0.100000000000001,7.825,18.7,17.125,19.875,2.675,18.7625,0,0,10
"3",2018-08-07,163.5,53.4,15.4,148.1,1,2.1754,0.3992,7.8,28.9,13.3245725553025,7.77777777777777,9.16204209893318,108.666666666667,1726.66666666666,802,25.35,23.625,28.025,4.35,25.45,7.9,7.8,8,0.15,7.9,19.6,18.65,21.125,2.45,19.525,0,0,21
"4",2018-09-11,120.8,58.2,4.3,116.5,1,3.3098,0.4294,10.6,47.1,18.5738325122781,7.77777777777777,11.1251634984535,250,12830,2630,26.05,24.825,28.4,3.5,25.925,7.9,7.825,8,0.100000000000001,7.9,19.6,18.825,21.075,1.95,19.725,0,0,21
"5",2018-12-05,35.1,55,13.5,21.6,3,3.3005,1.2959,45.2,58.9,33.6364714747263,42.2222222222222,23.0614667846687,346.666666666667,278007.888888889,12372.6666666667,26,25.3,28.125,3.2,25.975,7.9,7.9,8,0.0999999999999996,7.9,16.35,15.8,17,1,16.775,0,0,11
"6",2019-01-30,25.2,49.3,8.8,16.4,3,3.2846,0.6915,23.1,56.4,19.8561400534955,26.5555555555555,12.0422754261229,312,159910.666666667,17069.3333333333,23.15,21.65,25.875,4.65,23.125,7.9,7.875,7.9,0,7.9,11.5,10.8,12.075,0.975,11.575,0,0,10
"7",2019-02-20,28.4,49.1,15,13.4,2.5,2.30755555555556,0.160444444444444,8.22222222222222,48.375,9.44711566904561,35.6666666666667,5.05535040694236,338,146512.777777778,5751.33333333333,18.55,13.75,23.45,6.95,17.15,7.8,7.8,7.8,0,7.8,11.25,10.7,11.675,1,11.175,0,0,9
"8",2019-03-15,21.7,38.2,13.2,8.5,2,3.2326,0.1099,5.8,75.3,5.43926740101599,18.1111111111111,2.28019209808714,186.666666666667,29954.6666666667,3894.66666666667,11.4,8.1,17.725,8.025,10.925,7.8,7.8,7.8,0.0999999999999996,7.8,11.35,10.8,11.775,1,11.325,11,0,4
"9",2019-04-11,19.4,37.2,11.4,8,2,3.6192,0.1755,6.8,96.2,6.81932697769802,14.6666666666667,4.05590927857383,295.333333333333,26138,4220.66666666667,6.85,5.675,14.175,8.2,6.525,7.9,7.8,7.9,0.0999999999999996,7.875,11.75,11.4,12.45,1,11.6625,12,0,7
"10",2019-05-09,12.3,40.5,8.9,3.4,5,4.5223,1.4546,57.5,92.7,33.1041596958124,0,21.6652968514317,236.666666666667,0,10352,8.2,6.8,15.75,8.5,7.8375,7.95,7.9,8,0.0999999999999996,7.9,14.9,14.475,15.525,1.55,14.8875,6,0,19
"11",2019-06-09,6.1,25.7,2.9,3.2,5,4.3251,4.678,99.3,57.6,59.1684416615552,2.66666666666667,47.3852789130402,248,21804.6666666667,17441.3333333333,12.65,9.4,19.425,8.975,11.325,7.9,7.8,7.975,0.0999999999999996,7.9,16.35,15.5,17.8,2.275,16.5125,0,0,16
"12",2019-07-21,30.6,9.8,1.7,28.9,1,1.2655,0.5457,8.2,21.8,12.3464737876503,3.77777777777779,10.4125220579748,173.333333333333,17371.7777777778,5105.33333333333,18.55,13.2,22.9,8.675,16.25,7.7,7.7,7.7,0.0999999999999996,7.7,18.6,17.525,20.8,2.875,18.9,0,0,0
"13",2019-08-04,17.3,7.7,4.4,12.9,1,1.0108,0.1,2.8,19.2,4.74358974358975,0,2.4091820386987,95,0,1393,20.775,17.575,25.125,7.2,20.4,7.7,7.7,7.8,0.0999999999999996,7.7,19.2,18.1,21.2,2.925,19.25,0,0,9
"14",2019-09-12,15.1,16.5,3.1,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,21.475,26.7,5.2,23.3625,8,7.9,8,0.0999999999999996,7.925,20.45,19.35,21.725,2.325,20.3875,0,0,27
