"","date","no.fuc.q","cover","no.large.fuc.q","no.small.fuc.q","covcl.repro","dw.veg","dw.repro","apices.repro","apices.veg","perc.ra","oog.per.con","perc.rdw","no.concept.recp","oog.thalli","con.thalli","salinity","daily.min.sal","daily.max.sal","daily.sal.range","daily.med.sal","ph","daily.min.ph","daily.max.ph","daily.ph.range","daily.med.ph","water.temp","daily.min.wt","daily.max.wt","daily.wt.range","daily.med.wt","max.daily.sal.lt10","min.daily.sal.gt28","max.daily.ph.gt8"
"1",2018-06-15,34.3,29.8,NA,NA,2,2.2964,0.6285,24.125,53,21.1995074852218,12.1111111111111,12.782955507118,193.666666666667,62798.7777777777,10240.6666666667,29.1,28.725,30,1.2,29.05,8,7.9,8.3,0.4,8.025,16.725,14.4,18.9,4.25,16.65,7,28,29
"2",2018-07-16,128.2,52.7,10.9,117.3,2,2.5721,0.4581,14.9,64.3,12.955427339889,4.66666666666668,8.97562110625184,200,13815.1111111111,6976,31.1,30.5,31.5,0.699999999999999,30.975,7.9,7.8,8,0.15,7.9,17.5,16.2,19.3,3.35,17.6,10,31,6
"3",2018-08-06,119.9,38.4,12.9,107,4,3.4752,1.0841,18.3,74.4,17.5410929133971,8.44444444444442,17.1001838856863,282,26579.111111111,5470.66666666667,31,30.8,31.2,0.349999999999998,31,7.9,7.9,8,0.100000000000001,7.9,19.2,17.9,19.9,1.75,19.2,0,21,3
"4",2018-09-10,102.4,52.4,4.8,97.6,1,4.2065,0.356333333333333,6.6,63.9,7.52654480595657,11.2222222222222,5.25886682579841,179.333333333333,23930.2222222222,3139.33333333333,31.8,31.7,31.9,0.349999999999998,31.8,7.9,7.7,8,0.2,7.9,18.2,17.15,19.6,2.075,18.2625,7,32,6
"5",2018-10-09,49.9,47.5,8.9,41,1,9.2224,2.9664,73.9,152.2,29.5443404818578,23.2222222222222,23.5044667643068,291.333333333333,386300.888888889,24840,31.7,31.5,31.9,0.300000000000001,31.7,7.9,7.8,8,0.100000000000001,7.9,18.15,17.4,19.3,1.8,18.35,0,29,7
"6",2018-11-06,33.2,61.5,10.2,23,2,7.337,3.521,78.8,91.4,43.8850524515228,25.7777777777778,29.0074512390104,367.333333333333,382297.777777778,28466.6666666667,31.6,31.45,31.7,0.199999999999999,31.575,7.9,7.85,8,0.100000000000001,7.9,16.8,16.3,17.5,1.125,16.875,0,28,3
"7",2018-12-04,26.4,53.5,8.1,18.3,2,3.684,0.8919,33,55.5,29.5146615752001,47,14.6673269941759,345.333333333333,311427.777777778,13362.6666666667,31.35,31.25,31.55,0.400000000000002,31.375,7.9,7.8,8,0.15,7.9,14.6,12.95,13.5,0.525,13.175,0,28,11
"8",2019-01-31,19.6,42.3,4,15.6,2,2.893,0.1291,3.9,58.3,4.48466632298315,55.111111111111,2.56926152815183,167.333333333333,60958.4444444443,1490.66666666667,29.7,29.5,30.05,0.899999999999999,29.7,7.9,7.85,7.9,0.0999999999999996,7.9,12.15,11.825,12.425,0.55,12.1875,0,41,6
"9",2019-02-21,17.4,39.1,7.2,10.2,2,3.3092,0.1633,6.3,68,5.25358671029449,28.1111111111111,2.45863693431041,244.666666666667,82913.3333333333,5530,23.025,21.9,24,1.8,23.5,7.9,7.9,8,0.0749999999999997,7.9,11.7,11.4,11.9,0.6,11.7,0,0,3
"10",2019-03-14,18.1,44.1,10.3,7.8,2,4.0094,0.2845,9.3,69.6,9.73509542447726,29.2222222222222,5.07044378040752,340,100561.888888889,8235.33333333333,17.15,16.2,18.2,1.6,16.95,8,8,8,0,8,11.8,11.7,12.05,0.4,11.85,0,0,5
"11",2019-04-09,17,49.1,7.9,9.1,2,5.9182,0.3883,11.6,88.2,9.76056495418357,23.3333333333333,5.50368015624486,302.333333333333,48415,6584.33333333333,19.2,18.5,20,1.45,19.1625,8.1,8,8.275,0.25,8.1,14.225,13.75,14.9,0.799999999999999,14.15,0,0,24
"12",2019-05-08,44.2,43.2,6.2,38,2.5,5.2387,0.9579,37.3,102.5,17.9204023733361,1.77777777777778,10.3509385347999,357.333333333333,8695.33333333333,9808,21.3,20.7,21.95,1.95,21.25,8.2,7.9,8.4,0.5,8.2,15.35,14.5,16.9,2.3,15.5,0,0,29
"13",2019-06-08,10.5,23.9,3.4,7.1,2.5,7.6804,2.0539,64.2,139.5,19.7225076969206,9.11111111111112,12.4524501527057,343,219347.333333334,42421.6666666667,24.6,24,26.2,2.2,24.5,7.9,7.8,8.05,0.299999999999999,7.95,16.275,15.2,17.6,2.25,16.55,0,0,16
"14",2019-07-20,45.2,6.8,0.7,44.5,1,1.9294,0.088,3,32.1,5.0243915600885,3.33333333333333,2.08794748650706,188,1346.66666666667,1892.66666666667,27.4,26.275,28.625,1.625,26.825,7.9,7.8,8,0.2,7.9,18,16.3,19.4,3.1,18.05,0,5,20
"15",2019-08-04,60,8.1,0.6,59.4,1,1.2789,0.2807,9.2,26.4,6.95835884874464,12.8333333333333,4.35552378574523,157,36433.9999999999,6627,29.9,29.5,31,1.1,29.9,8,7.9,8.1,0.199999999999999,8,18.575,17,19.6,2.4,18.8,2,14,10
"16",2019-09-12,50.4,14.1,1.2,49.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.85,29.5,30.2,0.75,29.8,8,7.9,8.1,0.199999999999999,8,19.55,18.1,20.9,2.95,19.5,0,39,24
